com_id,com_nam,lin_ima,spo_nam,aff_com_nam,tot_rec,tot_dis,cas_on_han,cov_end_dat
C00416743,VICTORY NOW PAC,http://docquery.fec.gov/cgi-bin/fecimg/?C00416743,,CHRIS VAN HOLLEN,"$120,776.00","$110,795.50","$24,639.44",2013-10-31
C00344374,VICTORY POLITICAL ACTION COMMITTEE,http://docquery.fec.gov/cgi-bin/fecimg/?C00344374,,,,,"$31,077.56",2013-10-31
C00521021,VICTORYPAC,http://docquery.fec.gov/cgi-bin/fecimg/?C00521021,,REP GARY L ACKERMAN,"$1,000.00",$251.60,"$18,570.43",2013-09-30
C00378356,VIRGINIA LEADERSHIP PAC,http://docquery.fec.gov/cgi-bin/fecimg/?C00378356,"MORAN, JAMES",MORAN,"$19,500.00","$9,272.80","$83,592.98",2013-06-30
C00486332,VISION FOR AMERICA,http://docquery.fec.gov/cgi-bin/fecimg/?C00486332,,JACKIE SPEIER,"$11,819.20","$8,007.00","$4,675.74",2013-06-30
C00551838,VITORIA POLITICAL ACTION COMMITTEE (VITORIA PAC),http://docquery.fec.gov/cgi-bin/fecimg/?C00551838,,CONGRESSMAN DAVID VALADAO,,,,
C00409805,VOICE FOR FREEDOM,http://docquery.fec.gov/cgi-bin/fecimg/?C00409805,,THOMAS EDMUNDS PRICE,"$123,944.20","$81,146.80","$74,176.82",2013-10-31
C00431403,VOTE TO ELECT REPUBLICANS NOW PAC (VERN PAC),http://docquery.fec.gov/cgi-bin/fecimg/?C00431403,,VERNON BUCHANAN,"$64,648.30","$55,111.90","$11,448.04",2013-06-30
C00438721,WE THE PEOPLE PAC,http://docquery.fec.gov/cgi-bin/fecimg/?C00438721,,ALLYSON Y. SCHWARTZ,"$48,000.00","$13,476.80","$43,043.84",2013-06-30
C00500793,WELLS PAC,http://docquery.fec.gov/cgi-bin/fecimg/?C00500793,"SCOTT, JAMES",SCOTT,"$18,000.00","$10,019.50","$9,742.92",2013-10-31
C00370932,WHITE MOUNTAIN PAC,http://docquery.fec.gov/cgi-bin/fecimg/?C00370932,,THE NASHUA PAC,,"$58,381.90","$44,192.11",2013-06-30
C00500256,WHO DAT PAC,http://docquery.fec.gov/cgi-bin/fecimg/?C00500256,"RICHMOND, CEDRIC",RICHMOND,"$26,900.00","$29,666.00","$15,003.06",2013-06-30
C00489336,WILD AND WONDERFUL PAC,http://docquery.fec.gov/cgi-bin/fecimg/?C00489336,,SHELLEY MOORE CAPITO,"$27,500.00","$26,209.50","$65,883.06",2013-10-31
C00383927,WIN BACK AMERICA POLITICAL ACTION COMMITTEE,http://docquery.fec.gov/cgi-bin/fecimg/?C00383927,"PENCE, MIKE",PENCE,"$4,805.50","$4,633.00","$5,210.31",2013-06-30
C00516013,WINNOVEMBER POLITICAL ACTION COMMITTEE,http://docquery.fec.gov/cgi-bin/fecimg/?C00516013,,STEVE CHABOT,"$2,500.00","$7,850.00","$4,939.61",2013-06-30
C00457648,WINPAC,http://docquery.fec.gov/cgi-bin/fecimg/?C00457648,,DIANE E E WATSON,,,,
C00451583,WOLVERINE PAC,http://docquery.fec.gov/cgi-bin/fecimg/?C00451583,,JOHN D. DINGELL,,$565.00,"$13,773.48",2013-06-30
C00497305,YOPAC,http://docquery.fec.gov/cgi-bin/fecimg/?C00497305,"YODER, REP. KEVIN W.",YODER,,"$14,891.60","$13,840.65",2013-06-30
C00402636,ZIA POLITICAL ACTION COMMITTEE,http://docquery.fec.gov/cgi-bin/fecimg/?C00402636,,,,"$5,496.80",,2013-01-31
