com_id,com_nam,lin_ima,spo_nam,aff_com_nam,tot_rec,tot_dis,cas_on_han,cov_end_dat
C00500025,RECLAIM AMERICA PAC,http://docquery.fec.gov/cgi-bin/fecimg/?C00500025,,MARCO RUBIO,"$1,809,798.60","$995,027.90","$976,291.17",2013-06-30
C00389122,RED PAC,http://docquery.fec.gov/cgi-bin/fecimg/?C00389122,"PUTNAM, ADAM",,,"$3,502.10","$12,569.33",2013-11-30
C00493924,REINVENTING A NEW DIRECTION - RANDPAC,http://docquery.fec.gov/cgi-bin/fecimg/?C00493924,"PAUL, RAND",PAUL,"$929,903.60","$751,317.00","$604,084.78",2013-06-30
C00344648,RELY ON YOUR BELIEFS FUND,http://docquery.fec.gov/cgi-bin/fecimg/?C00344648,,ROY BLUNT,"$498,050.40","$433,209.60","$318,814.35",2013-10-31
C00395871,RENEWING OPPORTUNITY TRUST AND HOPE PAC (ROTHPAC),http://docquery.fec.gov/cgi-bin/fecimg/?C00395871,"ROTHMAN, STEVE",,,"$2,340.50",,2013-04-30
C00475608,RENEWING THE AMERICAN DREAM PAC,http://docquery.fec.gov/cgi-bin/fecimg/?C00475608,,TIM WALZ,"$5,000.00","$5,100.00","$1,166.67",2013-06-30
C00296640,REPUBLICAN MAJORITY FUND,http://docquery.fec.gov/cgi-bin/fecimg/?C00296640,,SENATOR SAXBY CHAMBLISS,"$205,669.90","$249,991.00","$83,022.35",2013-11-05
C00451294,REPUBLICAN OPERATION TO SECURE AND KEEP A MAJORITY (ROSKAM PAC),http://docquery.fec.gov/cgi-bin/fecimg/?C00451294,"ROSKAM, PETER",ROSKAM,"$255,100.00","$167,492.80","$129,187.80",2013-06-30
C00368696,RESPONSIBILITY AND FREEDOM WORK PAC (RFWPAC),http://docquery.fec.gov/cgi-bin/fecimg/?C00368696,,,"$42,500.00","$32,500.00","$37,374.44",2013-06-30
C00344333,"RESTORE AMERICA PAC, INC",http://docquery.fec.gov/cgi-bin/fecimg/?C00344333,,,"$1,773.20","$4,075.70","$2,994.51",2013-06-30
C00458307,RESTORE OUR DEMOCRACY PAC,http://docquery.fec.gov/cgi-bin/fecimg/?C00458307,"ALEXANDER, RODNEY",ALEXANDER,"$13,400.00","$16,912.70","$13,994.31",2013-06-30
C00365262,REUNITING OUR COUNTRY PAC,http://docquery.fec.gov/cgi-bin/fecimg/?C00365262,,JOSEPH LIEBERMAN,$1.20,"$24,056.80",,2013-07-22
C00307991,RHODE ISLAND PAC,http://docquery.fec.gov/cgi-bin/fecimg/?C00307991,"CICILLINE, DAVID",CICILLINE,"$10,000.00",$109.90,"$11,640.16",2013-10-31
C00430934,RIPTIDE POLITICAL ACTION COMMITTEE,http://docquery.fec.gov/cgi-bin/fecimg/?C00430934,"BILBRAY, BRIAN",BILBRAY,,,$909.92,2013-06-30
C00486043,ROAD TO FREEDOM POLITICAL ACTION COMMITTEE,http://docquery.fec.gov/cgi-bin/fecimg/?C00486043,,MR ED ROYCE,"$50,000.00","$42,095.70","$19,080.47",2013-06-30
